,date,trial_end_date,h_clients_hk,Test_group,Prolongation_tariff,prolongation_date,price_payed,converted,,,,profi,1390,258,,,,,,,,
1 030,19.03.2026,19.03.2026,Client_id_1030,A,0,27.03.2026,0,0,,,,,,,,,,,,,,
1 031,21.03.2026,21.03.2026,Client_id_1031,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
1 032,19.03.2026,19.03.2026,Client_id_1032,A,0,27.03.2026,0,0,,,,,,,,,,,,,,
1 033,19.03.2026,19.03.2026,Client_id_1033,A,0,19.03.2026,0,0,,,,,,,,,,,,,,
1 034,20.03.2026,20.03.2026,Client_id_1034,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
1 035,21.03.2026,21.03.2026,Client_id_1035,A,0,01.04.2026,0,0,,,,,,,,,,,,,,
1 036,18.03.2026,18.03.2026,Client_id_1036,A,0,19.03.2026,0,0,,,,,,,,,,,,,,
1 037,21.03.2026,21.03.2026,Client_id_1037,A,business,02.04.2026,2200,0,,,,,,,,,,,,,,
1 038,20.03.2026,20.03.2026,Client_id_1038,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
1 039,19.03.2026,19.03.2026,Client_id_1039,A,business_plus,25.03.2026,2700,1,,,,,,,,,,,,,,
1 040,18.03.2026,18.03.2026,Client_id_1040,A,0,23.03.2026,0,0,,,,,,,,,,,,,,
1 041,17.03.2026,17.03.2026,Client_id_1041,A,business_plus,26.03.2026,2700,1,,,,,,,,,,,,,,
1 042,21.03.2026,21.03.2026,Client_id_1042,A,0,03.04.2026,0,0,,,,,,,,,,,,,,
1 043,19.03.2026,19.03.2026,Client_id_1043,A,0,19.03.2026,0,0,,,,,,,,,,,,,,
1 044,19.03.2026,19.03.2026,Client_id_1044,A,profi,29.03.2026,1390,1,,,,,,,,,,,,,,
1 045,20.03.2026,20.03.2026,Client_id_1045,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
1 046,18.03.2026,18.03.2026,Client_id_1046,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
1 047,22.03.2026,22.03.2026,Client_id_1047,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
1 048,22.03.2026,22.03.2026,Client_id_1048,A,profi,05.04.2026,1390,0,,,,,,,,,,,,,,
1 049,20.03.2026,20.03.2026,Client_id_1049,A,business,22.03.2026,2200,1,,,,,,,,,,,,,,
1 050,22.03.2026,22.03.2026,Client_id_1050,A,0,27.03.2026,0,0,,,,,,,,,,,,,,
1 051,21.03.2026,21.03.2026,Client_id_1051,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
1 052,19.03.2026,19.03.2026,Client_id_1052,A,0,19.03.2026,0,0,,,,,,,,,,,,,,
1 053,17.03.2026,17.03.2026,Client_id_1053,A,0,27.03.2026,0,0,,,,,,,,,,,,,,
1 054,18.03.2026,18.03.2026,Client_id_1054,A,0,23.03.2026,0,0,,,,,,,,,,,,,,
1 055,22.03.2026,22.03.2026,Client_id_1055,A,0,01.04.2026,0,0,,,,,,,,,,,,,,
1 056,17.03.2026,17.03.2026,Client_id_1056,A,0,26.03.2026,0,0,,,,,,,,,,,,,,
1 057,21.03.2026,21.03.2026,Client_id_1057,A,0,21.03.2026,0,0,,,,,,,,,,,,,,
1 058,16.03.2026,16.03.2026,Client_id_1058,A,business_plus,26.03.2026,2700,1,,,,,,,,,,,,,,
1 059,21.03.2026,21.03.2026,Client_id_1059,A,0,21.03.2026,0,0,,,,,,,,,,,,,,
1 060,17.03.2026,17.03.2026,Client_id_1060,A,0,18.03.2026,0,0,,,,,,,,,,,,,,
1 061,17.03.2026,17.03.2026,Client_id_1061,A,0,24.03.2026,0,0,,,,,,,,,,,,,,
1 062,17.03.2026,17.03.2026,Client_id_1062,A,0,19.03.2026,0,0,,,,,,,,,,,,,,
1 063,19.03.2026,19.03.2026,Client_id_1063,A,profi,29.03.2026,1390,1,,,,,,,,,,,,,,
1 064,17.03.2026,17.03.2026,Client_id_1064,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
1 065,22.03.2026,22.03.2026,Client_id_1065,A,profi,23.03.2026,1390,1,,,,,,,,,,,,,,
1 066,19.03.2026,19.03.2026,Client_id_1066,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
1 067,18.03.2026,18.03.2026,Client_id_1067,A,0,30.03.2026,0,0,,,,,,,,,,,,,,
1 068,16.03.2026,16.03.2026,Client_id_1068,A,0,23.03.2026,0,0,,,,,,,,,,,,,,
1 069,17.03.2026,17.03.2026,Client_id_1069,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
1 070,20.03.2026,20.03.2026,Client_id_1070,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
1 071,21.03.2026,21.03.2026,Client_id_1071,A,0,03.04.2026,0,0,,,,,,,,,,,,,,
1 072,21.03.2026,21.03.2026,Client_id_1072,A,0,02.04.2026,0,0,,,,,,,,,,,,,,
1 073,22.03.2026,22.03.2026,Client_id_1073,A,0,26.03.2026,0,0,,,,,,,,,,,,,,
1 074,22.03.2026,22.03.2026,Client_id_1074,A,0,01.04.2026,0,0,,,,,,,,,,,,,,
1 075,19.03.2026,19.03.2026,Client_id_1075,A,profi,01.04.2026,1390,0,,,,,,,,,,,,,,
1 076,16.03.2026,16.03.2026,Client_id_1076,A,0,17.03.2026,0,0,,,,,,,,,,,,,,
1 077,21.03.2026,21.03.2026,Client_id_1077,A,0,04.04.2026,0,0,,,,,,,,,,,,,,
1 078,17.03.2026,17.03.2026,Client_id_1078,A,0,18.03.2026,0,0,,,,,,,,,,,,,,
1 079,22.03.2026,22.03.2026,Client_id_1079,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
1 080,16.03.2026,16.03.2026,Client_id_1080,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
1 081,19.03.2026,19.03.2026,Client_id_1081,A,0,23.03.2026,0,0,,,,,,,,,,,,,,
1 082,19.03.2026,19.03.2026,Client_id_1082,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
1 083,22.03.2026,22.03.2026,Client_id_1083,A,0,27.03.2026,0,0,,,,,,,,,,,,,,
1 084,16.03.2026,16.03.2026,Client_id_1084,A,0,19.03.2026,0,0,,,,,,,,,,,,,,
1 085,21.03.2026,21.03.2026,Client_id_1085,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
1 086,16.03.2026,16.03.2026,Client_id_1086,A,business_plus,16.03.2026,2700,1,,,,,,,,,,,,,,
1 087,16.03.2026,16.03.2026,Client_id_1087,A,0,21.03.2026,0,0,,,,,,,,,,,,,,
1 088,21.03.2026,21.03.2026,Client_id_1088,A,0,22.03.2026,0,0,,,,,,,,,,,,,,
1 089,17.03.2026,17.03.2026,Client_id_1089,A,0,19.03.2026,0,0,,,,,,,,,,,,,,
1 090,22.03.2026,22.03.2026,Client_id_1090,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
1 091,18.03.2026,18.03.2026,Client_id_1091,A,0,24.03.2026,0,0,,,,,,,,,,,,,,
1 092,20.03.2026,20.03.2026,Client_id_1092,A,0,03.04.2026,0,0,,,,,,,,,,,,,,
1 093,20.03.2026,20.03.2026,Client_id_1093,A,0,03.04.2026,0,0,,,,,,,,,,,,,,
1 094,22.03.2026,22.03.2026,Client_id_1094,A,0,27.03.2026,0,0,,,,,,,,,,,,,,
1 095,16.03.2026,16.03.2026,Client_id_1095,A,0,17.03.2026,0,0,,,,,,,,,,,,,,
1 096,17.03.2026,17.03.2026,Client_id_1096,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
1 097,20.03.2026,20.03.2026,Client_id_1097,A,profi,03.04.2026,1390,0,,,,,,,,,,,,,,
1 098,19.03.2026,19.03.2026,Client_id_1098,A,0,26.03.2026,0,0,,,,,,,,,,,,,,
1 099,18.03.2026,18.03.2026,Client_id_1099,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
1 100,17.03.2026,17.03.2026,Client_id_1100,A,0,17.03.2026,0,0,,,,,,,,,,,,,,
1 101,22.03.2026,22.03.2026,Client_id_1101,A,0,22.03.2026,0,0,,,,,,,,,,,,,,
1 102,17.03.2026,17.03.2026,Client_id_1102,A,0,27.03.2026,0,0,,,,,,,,,,,,,,
1 103,22.03.2026,22.03.2026,Client_id_1103,A,0,02.04.2026,0,0,,,,,,,,,,,,,,
1 104,17.03.2026,17.03.2026,Client_id_1104,A,0,17.03.2026,0,0,,,,,,,,,,,,,,
1 105,16.03.2026,16.03.2026,Client_id_1105,A,0,21.03.2026,0,0,,,,,,,,,,,,,,
1 106,16.03.2026,16.03.2026,Client_id_1106,A,0,21.03.2026,0,0,,,,,,,,,,,,,,
1 107,16.03.2026,16.03.2026,Client_id_1107,A,0,24.03.2026,0,0,,,,,,,,,,,,,,
1 108,22.03.2026,22.03.2026,Client_id_1108,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
1 109,18.03.2026,18.03.2026,Client_id_1109,A,business_plus,27.03.2026,2700,1,,,,,,,,,,,,,,
1 110,20.03.2026,20.03.2026,Client_id_1110,A,0,20.03.2026,0,0,,,,,,,,,,,,,,
1 111,20.03.2026,20.03.2026,Client_id_1111,A,0,27.03.2026,0,0,,,,,,,,,,,,,,
1 112,18.03.2026,18.03.2026,Client_id_1112,A,business,20.03.2026,2200,1,,,,,,,,,,,,,,
1 113,19.03.2026,19.03.2026,Client_id_1113,A,0,19.03.2026,0,0,,,,,,,,,,,,,,
1 114,21.03.2026,21.03.2026,Client_id_1114,A,business,24.03.2026,2200,1,,,,,,,,,,,,,,
1 115,16.03.2026,16.03.2026,Client_id_1115,A,0,17.03.2026,0,0,,,,,,,,,,,,,,
1 116,16.03.2026,16.03.2026,Client_id_1116,A,business_plus,23.03.2026,2700,1,,,,,,,,,,,,,,
1 117,16.03.2026,16.03.2026,Client_id_1117,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
1 118,21.03.2026,21.03.2026,Client_id_1118,A,0,27.03.2026,0,0,,,,,,,,,,,,,,
1 119,19.03.2026,19.03.2026,Client_id_1119,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
1 120,16.03.2026,16.03.2026,Client_id_1120,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
1 121,18.03.2026,18.03.2026,Client_id_1121,A,profi,25.03.2026,1390,1,,,,,,,,,,,,,,
1 122,18.03.2026,18.03.2026,Client_id_1122,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
1 123,21.03.2026,21.03.2026,Client_id_1123,A,0,04.04.2026,0,0,,,,,,,,,,,,,,
1 124,18.03.2026,18.03.2026,Client_id_1124,A,0,23.03.2026,0,0,,,,,,,,,,,,,,
1 125,16.03.2026,16.03.2026,Client_id_1125,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
1 126,19.03.2026,19.03.2026,Client_id_1126,A,0,22.03.2026,0,0,,,,,,,,,,,,,,
1 127,16.03.2026,16.03.2026,Client_id_1127,A,0,18.03.2026,0,0,,,,,,,,,,,,,,
1 128,21.03.2026,21.03.2026,Client_id_1128,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
1 129,22.03.2026,22.03.2026,Client_id_1129,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
1 130,22.03.2026,22.03.2026,Client_id_1130,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
1 131,21.03.2026,21.03.2026,Client_id_1131,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
1 132,20.03.2026,20.03.2026,Client_id_1132,A,profi,30.03.2026,1390,1,,,,,,,,,,,,,,
1 133,21.03.2026,21.03.2026,Client_id_1133,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
1 134,17.03.2026,17.03.2026,Client_id_1134,A,business_plus,28.03.2026,2700,0,,,,,,,,,,,,,,
1 135,20.03.2026,20.03.2026,Client_id_1135,A,0,26.03.2026,0,0,,,,,,,,,,,,,,
1 136,18.03.2026,18.03.2026,Client_id_1136,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
1 137,22.03.2026,22.03.2026,Client_id_1137,A,0,23.03.2026,0,0,,,,,,,,,,,,,,
1 138,21.03.2026,21.03.2026,Client_id_1138,A,0,03.04.2026,0,0,,,,,,,,,,,,,,
1 139,17.03.2026,17.03.2026,Client_id_1139,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
1 140,17.03.2026,17.03.2026,Client_id_1140,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
1 141,21.03.2026,21.03.2026,Client_id_1141,A,business_plus,22.03.2026,2700,1,,,,,,,,,,,,,,
1 142,17.03.2026,17.03.2026,Client_id_1142,A,0,19.03.2026,0,0,,,,,,,,,,,,,,
1 143,19.03.2026,19.03.2026,Client_id_1143,A,0,30.03.2026,0,0,,,,,,,,,,,,,,
1 144,18.03.2026,18.03.2026,Client_id_1144,A,profi,23.03.2026,1390,1,,,,,,,,,,,,,,
1 145,22.03.2026,22.03.2026,Client_id_1145,A,profi,04.04.2026,1390,0,,,,,,,,,,,,,,
1 146,19.03.2026,19.03.2026,Client_id_1146,A,profi,29.03.2026,1390,1,,,,,,,,,,,,,,
1 147,19.03.2026,19.03.2026,Client_id_1147,A,0,27.03.2026,0,0,,,,,,,,,,,,,,
1 148,22.03.2026,22.03.2026,Client_id_1148,A,0,05.04.2026,0,0,,,,,,,,,,,,,,
1 149,18.03.2026,18.03.2026,Client_id_1149,A,0,20.03.2026,0,0,,,,,,,,,,,,,,
1 150,17.03.2026,17.03.2026,Client_id_1150,A,0,20.03.2026,0,0,,,,,,,,,,,,,,
1 151,16.03.2026,16.03.2026,Client_id_1151,A,0,24.03.2026,0,0,,,,,,,,,,,,,,
1 152,22.03.2026,22.03.2026,Client_id_1152,A,0,22.03.2026,0,0,,,,,,,,,,,,,,
1 153,19.03.2026,19.03.2026,Client_id_1153,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
1 154,20.03.2026,20.03.2026,Client_id_1154,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
1 155,21.03.2026,21.03.2026,Client_id_1155,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
1 156,21.03.2026,21.03.2026,Client_id_1156,A,0,03.04.2026,0,0,,,,,,,,,,,,,,
1 157,16.03.2026,16.03.2026,Client_id_1157,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
1 158,19.03.2026,19.03.2026,Client_id_1158,A,0,23.03.2026,0,0,,,,,,,,,,,,,,
1 159,19.03.2026,19.03.2026,Client_id_1159,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
1 160,16.03.2026,16.03.2026,Client_id_1160,A,profi,28.03.2026,1390,0,,,,,,,,,,,,,,
1 161,21.03.2026,21.03.2026,Client_id_1161,A,business_plus,27.03.2026,2700,1,,,,,,,,,,,,,,
1 162,20.03.2026,20.03.2026,Client_id_1162,A,0,03.04.2026,0,0,,,,,,,,,,,,,,
1 163,20.03.2026,20.03.2026,Client_id_1163,A,0,01.04.2026,0,0,,,,,,,,,,,,,,
1 164,16.03.2026,16.03.2026,Client_id_1164,A,0,21.03.2026,0,0,,,,,,,,,,,,,,
1 165,22.03.2026,22.03.2026,Client_id_1165,A,0,24.03.2026,0,0,,,,,,,,,,,,,,
1 166,18.03.2026,18.03.2026,Client_id_1166,A,0,30.03.2026,0,0,,,,,,,,,,,,,,
1 167,17.03.2026,17.03.2026,Client_id_1167,A,0,30.03.2026,0,0,,,,,,,,,,,,,,
1 168,21.03.2026,21.03.2026,Client_id_1168,A,0,21.03.2026,0,0,,,,,,,,,,,,,,
1 169,21.03.2026,21.03.2026,Client_id_1169,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
1 170,18.03.2026,18.03.2026,Client_id_1170,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
1 171,22.03.2026,22.03.2026,Client_id_1171,A,0,24.03.2026,0,0,,,,,,,,,,,,,,
1 172,21.03.2026,21.03.2026,Client_id_1172,A,0,21.03.2026,0,0,,,,,,,,,,,,,,
1 173,20.03.2026,20.03.2026,Client_id_1173,A,0,20.03.2026,0,0,,,,,,,,,,,,,,
1 174,19.03.2026,19.03.2026,Client_id_1174,A,profi,27.03.2026,1390,1,,,,,,,,,,,,,,
1 175,21.03.2026,21.03.2026,Client_id_1175,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
1 176,16.03.2026,16.03.2026,Client_id_1176,A,0,18.03.2026,0,0,,,,,,,,,,,,,,
1 177,21.03.2026,21.03.2026,Client_id_1177,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
1 178,16.03.2026,16.03.2026,Client_id_1178,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
1 179,19.03.2026,19.03.2026,Client_id_1179,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
1 180,18.03.2026,18.03.2026,Client_id_1180,A,0,01.04.2026,0,0,,,,,,,,,,,,,,
1 181,22.03.2026,22.03.2026,Client_id_1181,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
1 182,21.03.2026,21.03.2026,Client_id_1182,A,0,23.03.2026,0,0,,,,,,,,,,,,,,
1 183,18.03.2026,18.03.2026,Client_id_1183,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
1 184,21.03.2026,21.03.2026,Client_id_1184,A,0,22.03.2026,0,0,,,,,,,,,,,,,,
1 185,17.03.2026,17.03.2026,Client_id_1185,A,profi,20.03.2026,1390,1,,,,,,,,,,,,,,
1 186,22.03.2026,22.03.2026,Client_id_1186,A,profi,31.03.2026,1390,1,,,,,,,,,,,,,,
1 187,20.03.2026,20.03.2026,Client_id_1187,A,0,30.03.2026,0,0,,,,,,,,,,,,,,
1 188,20.03.2026,20.03.2026,Client_id_1188,A,0,22.03.2026,0,0,,,,,,,,,,,,,,
1 189,20.03.2026,20.03.2026,Client_id_1189,A,0,01.04.2026,0,0,,,,,,,,,,,,,,
1 190,19.03.2026,19.03.2026,Client_id_1190,A,business,19.03.2026,2200,1,,,,,,,,,,,,,,
1 191,21.03.2026,21.03.2026,Client_id_1191,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
1 192,22.03.2026,22.03.2026,Client_id_1192,A,profi,04.04.2026,1390,0,,,,,,,,,,,,,,
1 193,21.03.2026,21.03.2026,Client_id_1193,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
1 194,22.03.2026,22.03.2026,Client_id_1194,A,0,24.03.2026,0,0,,,,,,,,,,,,,,
1 195,17.03.2026,17.03.2026,Client_id_1195,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
1 196,20.03.2026,20.03.2026,Client_id_1196,A,business_plus,23.03.2026,2700,1,,,,,,,,,,,,,,
1 197,19.03.2026,19.03.2026,Client_id_1197,A,0,01.04.2026,0,0,,,,,,,,,,,,,,
1 198,18.03.2026,18.03.2026,Client_id_1198,A,business_plus,18.03.2026,2700,1,,,,,,,,,,,,,,
1 199,22.03.2026,22.03.2026,Client_id_1199,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
1 200,17.03.2026,17.03.2026,Client_id_1200,A,0,17.03.2026,0,0,,,,,,,,,,,,,,
1 201,16.03.2026,16.03.2026,Client_id_1201,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
1 202,20.03.2026,20.03.2026,Client_id_1202,A,0,22.03.2026,0,0,,,,,,,,,,,,,,
1 203,20.03.2026,20.03.2026,Client_id_1203,A,0,01.04.2026,0,0,,,,,,,,,,,,,,
1 204,20.03.2026,20.03.2026,Client_id_1204,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
1 205,17.03.2026,17.03.2026,Client_id_1205,A,profi,28.03.2026,1390,0,,,,,,,,,,,,,,
1 206,18.03.2026,18.03.2026,Client_id_1206,A,profi,31.03.2026,1390,0,,,,,,,,,,,,,,
1 207,19.03.2026,19.03.2026,Client_id_1207,A,0,02.04.2026,0,0,,,,,,,,,,,,,,
1 208,21.03.2026,21.03.2026,Client_id_1208,A,0,21.03.2026,0,0,,,,,,,,,,,,,,
1 209,17.03.2026,17.03.2026,Client_id_1209,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
1 210,20.03.2026,20.03.2026,Client_id_1210,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
1 211,22.03.2026,22.03.2026,Client_id_1211,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
1 212,20.03.2026,20.03.2026,Client_id_1212,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
1 213,20.03.2026,20.03.2026,Client_id_1213,A,0,20.03.2026,0,0,,,,,,,,,,,,,,
1 214,18.03.2026,18.03.2026,Client_id_1214,A,0,21.03.2026,0,0,,,,,,,,,,,,,,
1 215,17.03.2026,17.03.2026,Client_id_1215,A,0,24.03.2026,0,0,,,,,,,,,,,,,,
1 216,21.03.2026,21.03.2026,Client_id_1216,A,0,01.04.2026,0,0,,,,,,,,,,,,,,
1 217,17.03.2026,17.03.2026,Client_id_1217,A,0,26.03.2026,0,0,,,,,,,,,,,,,,
1 218,22.03.2026,22.03.2026,Client_id_1218,A,0,26.03.2026,0,0,,,,,,,,,,,,,,
1 219,19.03.2026,19.03.2026,Client_id_1219,A,0,27.03.2026,0,0,,,,,,,,,,,,,,
1 220,22.03.2026,22.03.2026,Client_id_1220,A,0,30.03.2026,0,0,,,,,,,,,,,,,,
1 221,18.03.2026,18.03.2026,Client_id_1221,A,0,18.03.2026,0,0,,,,,,,,,,,,,,
1 222,18.03.2026,18.03.2026,Client_id_1222,A,0,21.03.2026,0,0,,,,,,,,,,,,,,
1 223,19.03.2026,19.03.2026,Client_id_1223,A,0,26.03.2026,0,0,,,,,,,,,,,,,,
1 224,19.03.2026,19.03.2026,Client_id_1224,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
1 225,16.03.2026,16.03.2026,Client_id_1225,A,0,18.03.2026,0,0,,,,,,,,,,,,,,
1 226,20.03.2026,20.03.2026,Client_id_1226,A,0,24.03.2026,0,0,,,,,,,,,,,,,,
1 227,18.03.2026,18.03.2026,Client_id_1227,A,0,19.03.2026,0,0,,,,,,,,,,,,,,
1 228,21.03.2026,21.03.2026,Client_id_1228,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
1 229,17.03.2026,17.03.2026,Client_id_1229,A,business_plus,29.03.2026,2700,0,,,,,,,,,,,,,,
1 230,17.03.2026,17.03.2026,Client_id_1230,A,0,19.03.2026,0,0,,,,,,,,,,,,,,
1 231,21.03.2026,21.03.2026,Client_id_1231,A,0,21.03.2026,0,0,,,,,,,,,,,,,,
1 232,16.03.2026,16.03.2026,Client_id_1232,A,0,30.03.2026,0,0,,,,,,,,,,,,,,
1 233,22.03.2026,22.03.2026,Client_id_1233,A,0,01.04.2026,0,0,,,,,,,,,,,,,,
1 234,20.03.2026,20.03.2026,Client_id_1234,A,0,22.03.2026,0,0,,,,,,,,,,,,,,
1 235,16.03.2026,16.03.2026,Client_id_1235,A,0,16.03.2026,0,0,,,,,,,,,,,,,,
1 236,20.03.2026,20.03.2026,Client_id_1236,A,profi,27.03.2026,1390,1,,,,,,,,,,,,,,
1 237,16.03.2026,16.03.2026,Client_id_1237,A,profi,22.03.2026,1390,1,,,,,,,,,,,,,,
1 238,18.03.2026,18.03.2026,Client_id_1238,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
1 239,16.03.2026,16.03.2026,Client_id_1239,A,business,28.03.2026,2200,0,,,,,,,,,,,,,,
1 240,19.03.2026,19.03.2026,Client_id_1240,A,0,20.03.2026,0,0,,,,,,,,,,,,,,
1 241,20.03.2026,20.03.2026,Client_id_1241,A,profi,03.04.2026,1390,0,,,,,,,,,,,,,,
1 242,21.03.2026,21.03.2026,Client_id_1242,A,0,24.03.2026,0,0,,,,,,,,,,,,,,
1 243,19.03.2026,19.03.2026,Client_id_1243,A,business_plus,20.03.2026,2700,1,,,,,,,,,,,,,,
1 244,18.03.2026,18.03.2026,Client_id_1244,A,0,30.03.2026,0,0,,,,,,,,,,,,,,
1 245,22.03.2026,22.03.2026,Client_id_1245,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
1 246,18.03.2026,18.03.2026,Client_id_1246,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
1 247,22.03.2026,22.03.2026,Client_id_1247,A,0,22.03.2026,0,0,,,,,,,,,,,,,,
1 248,18.03.2026,18.03.2026,Client_id_1248,A,0,22.03.2026,0,0,,,,,,,,,,,,,,
1 249,18.03.2026,18.03.2026,Client_id_1249,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
1 250,18.03.2026,18.03.2026,Client_id_1250,A,0,30.03.2026,0,0,,,,,,,,,,,,,,
1 251,21.03.2026,21.03.2026,Client_id_1251,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
1 252,21.03.2026,21.03.2026,Client_id_1252,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
1 253,20.03.2026,20.03.2026,Client_id_1253,A,0,01.04.2026,0,0,,,,,,,,,,,,,,
1 254,20.03.2026,20.03.2026,Client_id_1254,A,0,02.04.2026,0,0,,,,,,,,,,,,,,
1 255,17.03.2026,17.03.2026,Client_id_1255,A,0,22.03.2026,0,0,,,,,,,,,,,,,,
1 256,19.03.2026,19.03.2026,Client_id_1256,A,0,22.03.2026,0,0,,,,,,,,,,,,,,
1 257,16.03.2026,16.03.2026,Client_id_1257,A,0,23.03.2026,0,0,,,,,,,,,,,,,,
1 258,17.03.2026,17.03.2026,Client_id_1258,A,profi,24.03.2026,1390,1,,,,,,,,,,,,,,
1 259,16.03.2026,16.03.2026,Client_id_1259,A,0,16.03.2026,0,0,,,,,,,,,,,,,,
1 260,19.03.2026,19.03.2026,Client_id_1260,A,0,02.04.2026,0,0,,,,,,,,,,,,,,
1 261,19.03.2026,19.03.2026,Client_id_1261,A,0,22.03.2026,0,0,,,,,,,,,,,,,,
1 262,16.03.2026,16.03.2026,Client_id_1262,A,0,27.03.2026,0,0,,,,,,,,,,,,,,
1 263,20.03.2026,20.03.2026,Client_id_1263,A,0,01.04.2026,0,0,,,,,,,,,,,,,,
1 264,18.03.2026,18.03.2026,Client_id_1264,A,0,22.03.2026,0,0,,,,,,,,,,,,,,
1 265,21.03.2026,21.03.2026,Client_id_1265,A,business,02.04.2026,2200,0,,,,,,,,,,,,,,
1 266,20.03.2026,20.03.2026,Client_id_1266,A,0,01.04.2026,0,0,,,,,,,,,,,,,,
1 267,17.03.2026,17.03.2026,Client_id_1267,A,0,19.03.2026,0,0,,,,,,,,,,,,,,
1 268,22.03.2026,22.03.2026,Client_id_1268,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
1 269,22.03.2026,22.03.2026,Client_id_1269,A,0,22.03.2026,0,0,,,,,,,,,,,,,,
1 270,18.03.2026,18.03.2026,Client_id_1270,A,0,19.03.2026,0,0,,,,,,,,,,,,,,
1 271,20.03.2026,20.03.2026,Client_id_1271,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
1 272,20.03.2026,20.03.2026,Client_id_1272,A,0,30.03.2026,0,0,,,,,,,,,,,,,,
1 273,18.03.2026,18.03.2026,Client_id_1273,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
1 274,19.03.2026,19.03.2026,Client_id_1274,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
1 275,19.03.2026,19.03.2026,Client_id_1275,A,0,21.03.2026,0,0,,,,,,,,,,,,,,
1 276,22.03.2026,22.03.2026,Client_id_1276,A,0,02.04.2026,0,0,,,,,,,,,,,,,,
1 277,16.03.2026,16.03.2026,Client_id_1277,A,0,16.03.2026,0,0,,,,,,,,,,,,,,
1 278,19.03.2026,19.03.2026,Client_id_1278,A,0,01.04.2026,0,0,,,,,,,,,,,,,,
1 279,22.03.2026,22.03.2026,Client_id_1279,A,0,23.03.2026,0,0,,,,,,,,,,,,,,
1 280,22.03.2026,22.03.2026,Client_id_1280,A,0,03.04.2026,0,0,,,,,,,,,,,,,,
